Tipo Autorizzazione,Unità Locale,Cod. Impianto,Denominazione,Gestore,Prov.,Comune,Indirizzo,Latitudine,Longitudine,Colonna georeferenziata
Autorizzazione AIA,"SEDEGLIANO Via Indipendenza, 42 Gradisca",UD/AIA/42,"Impianto di trattamento chimico-fisico e biologico in aia SEDEGLIANO Via Indipendenza, 42 -AIA/42",TESSILOR S.R.L.,UD,SEDEGLIANO,"Gradisca Via Indipendenza,42",46.004321,12.963041,POINT (12.963041 46.004321)
Autorizzazione unica (ordinaria),CHIONS Via Redenta 25,PN_XYMOB0016,Impianto mobile modello Minitrack 503 Pcv CHIONS Via Redenta 25,TODESCO SCAVI S.N.C. DI TODESCO ALDO & C.,PN,CHIONS,"Via Redenta,25",45.902647,12.780026,POINT (12.780026 45.902647)
Procedura semplificata/AUA,SAN VITO AL TAGLIAMENTO Via Gemona 34,PN-COM-198,Impianto di recupero inerti SAN VITO AL TAGLIAMENTO Via Gemona 34,TODESCO SCAVI S.N.C. DI TODESCO ALDO & C.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Gemona,34",45.944935,12.887757,POINT (12.887757 45.944935)
Procedura semplificata/AUA,"AZZANO DECIMO Via dei Laghi, 6",PN-COM-33,"Impianto di recupere inerti AZZANO DECIMO via dei Laghi, 6",TODESCO SCAVI S.N.C. DI TODESCO ALDO & C.,PN,AZZANO DECIMO,"Via dei Laghi,6",45.881451,12.748218,POINT (12.748218 45.881451)
Procedura semplificata/AUA,"BRUGNERA Via Ungaresca, 16",PN-COM-175,"Impianto di recupero energetico BRUGNERA Via Ungaresca, 16",TOMASELLA INDUSTRIA MOBILI DI TOMASELLA PAOLO & C. - SOCIETA' IN ACCOMANDITA SEMPLICE,PN,BRUGNERA,"Via Ungaresca di Brugnera,16",45.90217,12.536058,POINT (12.536058 45.90217)
Autorizzazione unica (ordinaria),VALVASONE ARZENE Via Grava 28,PN_XYMOB0015,Impianto mobile Sandvik QI341HS matricola QI341-11001 VALVASONE ARZENE Via Grava 28,TRANS GHIAIA S.R.L.,PN,VALVASONE ARZENE,"Via Grava,28",46.006102,12.817805,POINT (12.817805 46.006102)
Autorizzazione unica (ordinaria),VALVASONE ARZENE Via Grava 28,PN_XYMOB006,Impianto mobile REV GSV 35/S matricola n. 10954 VALVASONE ARZENE Via Grava 28,TRANS GHIAIA S.R.L.,PN,VALVASONE ARZENE,"Via Grava,28",46.006255,12.817964,POINT (12.817964 46.006255)
Autorizzazione unica (ordinaria),VALVASONE ARZENE Via Grava 28,PN_XYMOB013,Impianto mobile REV GCR 106 matricola n. 10740 VALVASONE ARZENE Via Grava 28,TRANS GHIAIA S.R.L.,PN,VALVASONE ARZENE,"Via Grava,28",46.006255,12.817964,POINT (12.817964 46.006255)
Procedura semplificata/AUA,VALVASONE ARZENE Via Grava 28,PN-COM-156,"Impianto di recupero inerti in aua VALVASONE ARZENE Via Grava, 28",TRANS GHIAIA S.R.L.,PN,VALVASONE ARZENE,"Via Grava,28",46.006363,12.82186,POINT (12.82186 46.006363)
Autorizzazione unica (ordinaria),VALVASONE ARZENE Via Grava 28,DIS213PN,"Discarica per inerti VALVASONE ARZENE Via Grava, 28",TRANS GHIAIA S.R.L.,PN,VALVASONE ARZENE,"Via Grava,28",46.005242,12.820099,POINT (12.820099 46.005242)
Procedura semplificata/AUA,"FONTANAFREDDA Via Giacomo Puccini, 88",PN-COM-46,"Impianto di recupero metalli FONTANAFREDDA Via Giacomo Puccini, 88",TRUCCOLO ANGELO S.R.L.,PN,FONTANAFREDDA,"Vigonovo Via Giacomo Puccini,88",45.982289,12.557345,POINT (12.557345 45.982289)
Procedura semplificata/AUA,MARTIGNACCO Via Malignani,COM_531,Impianto di messa in riserva cartucce toner MARTIGNACCO Via Malignani,UDINESE SERVIZI E FORNITURE S.N.C. DI DEL GIUDICE LEONARDO E GREATTI LUISA,UD,MARTIGNACCO,"Via Arturo Malignani,27/4",46.085003,13.153145,POINT (13.153145 46.085003)
Autorizzazione unica (ordinaria),"SAN VITO AL TAGLIAMENTO Via Gemona, 6",F016091-0002_002,"Impianto recupero legno non pericoloso SAN VITO AL TAGLIAMENTO Via Gemona, 6",UNILEGNO FRIULI SRL,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Gemona,6",45.934457,12.886561,POINT (12.886561 45.934457)
Procedura semplificata/AUA,BRUGNERA Via Carpenè 23,PN-COM-260,Impianto di recupero energetico BRUGNERA Via Carpenè 23,VALENEXT SRL,PN,BRUGNERA,"Zona Industriale di Maron Via Antonio Carpenè,23",45.912769,12.551085,POINT (12.551085 45.912769)
Procedura semplificata/AUA,BICINICCO via Santa Maria 32,COM_541,Impianto di stoccaggio BICINICCO Via Santa Maria 32,VALORI FRANCO & C. S.R.L.,UD,BICINICCO,"Via Santa Maria,32",45.930634,13.259672,POINT (13.259672 45.930634)
Procedura semplificata/AUA,"SPILIMBERGO Viale Barbacane,13",F093044-0018_002,"Impianto di recupero inerti SPILIMBERGO Viale Barbacane, 13",VENILIO DE STEFANO S.R.L.,PN,SPILIMBERGO,"Viale Barbacane,13",46.134568,12.874947,POINT (12.874947 46.134568)
Procedura semplificata/AUA,MUGGIA Via del Canneto 10,AUA14TS,Impianto di compostaggio rifiuti organici MUGGIA Via del Canneto 10,VERDE NOGHERE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,TS,MUGGIA,"Vignano Via del Canneto,10",45.587252,13.811614,POINT (13.811614 45.587252)
Procedura semplificata/AUA,VARMO Strada comunale Romans Cornazzai,COM_548,Impianto di recupero inerti VARMO Strada comunale Romans Cornazzai,VUARAN GIANNI DI VUARAN MANUEL & C. S.A.S.,UD,VARMO,Cornazzai Strada Comunale Romans Cornazzai,45.880997,13.013252,POINT (13.013252 45.880997)
Autorizzazione unica (ordinaria),"VARMO Via Tagliamento, 18",F030130-0005_002,"Impianto mobile recupero inerti screen GI 5000R VARMO Via Tagliamento, 18",ZANINI OLIVIERO S.R.L.,UD,VARMO,"Via Tagliamento,18",,,
Autorizzazione unica (ordinaria),VARMO Via Tagliamento 18,F030130-0009_002,Impianto mobile recupero inerti Olimpo GI118C VARMO Via Tagliamento 18,ZANINI OLIVIERO S.R.L.,UD,VARMO,"Via Tagliamento,18",,,
Autorizzazione unica (ordinaria),"VARMO Via Tagliamento, 18",UL-F030130-0006_004,"Impianto mobile Gasparin Omg-GI106C Diablo VARMO Via Tagliamento, 18",ZANINI OLIVIERO S.R.L.,UD,VARMO,"Via Tagliamento,18",,,
Procedura semplificata/AUA,"MORTEGLIANO Località Braidasse, Chiasiellis",COM_581,"Impianto di recupero inerti MORTEGLIANO Località Braidasse, Chiasiellis",ZANINI OLIVIERO S.R.L.,UD,MORTEGLIANO,Chiasiellis Località Braidasse,45.951328,13.210974,POINT (13.210974 45.951328)
Procedura semplificata/AUA,TRIESTE via Rozzol Callaia 1683,COM_672,Impianto di messa in riserva TRIESTE via Rozzol Callaia 1683,ZANUTTA S.P.A.,TS,TRIESTE,"Via Rozzol Callaia,1683",45.638377,13.817662,POINT (13.817662 45.638377)
Autorizzazione AIA,"MANIAGO Via dell'Industria, 10",PN/AIA/5-56,"Impianto di recupero metalli MANIAGO Via dell'Industria, 10 - AIA",ZML INDUSTRIES S.P.A.,PN,MANIAGO,"Zona Industriale Campagna Viale dell'Industria,10",46.149444,12.727509,POINT (12.727509 46.149444)
Procedura semplificata/AUA,"STARANZANO Via Rosa Agazzi, 11",COM_903,Impianto di recupero rottami metallici STARANZANO Via Rosa Agazzi 11,ZOTTI GAETANO,GO,STARANZANO,"Via Rosa Agazzi,11",45.790791,13.503522,POINT (13.503522 45.790791)
Autorizzazione AIA,"SESTO AL REGHENA Via Villacucca, 1",PN/AIA/98,"Impianto recupero ceneri, scorie, inerti SESTO AL REGHENA Via Villacucca, 1",,PN,SESTO AL REGHENA,"Via Villacucca,1",45.84637,12.826594,POINT (12.826594 45.84637)
Autorizzazione unica (ordinaria),"TRIESTE Via Caboto, 19/11",F032006-0091_002,"Impianto mobile soil washing TRIESTE Via Caboto,19/11",,TS,TRIESTE,"Via Giovanni e Sebastiano Caboto,19/11",45.655536,13.773811,POINT (13.773811 45.655536)
Autorizzazione unica (ordinaria),"SAN GIOVANNI AL NATISONE Via Madonna di Strada, 52",UD_XYMOB008,"Impianto mobile Komatsu matr. KMTBR023H02002543 SAN GIOVANNI AL NATISONE Via Madonna di Strada, 52",,UD,SAN GIOVANNI AL NATISONE,"Via Madonna di Strada,52",,,
Autorizzazione unica (ordinaria),"FORGARIA NEL FRIULI  Via Sompcornino, 71",UD_XYMOB002,"Impianto mobile Gasparin matr. 08003/2008 FORGARIA NEL FRIULI Via Sompcornino, 71",,UD,FORGARIA NEL FRIULI,"Via Sompcornino,71",,,
Autorizzazione unica (ordinaria),"UDINE Via del Canapificio, 43",UD_XYMOB026,"Impianto mobile di recupero inerti OM mat. 99905600T e EXTEC mat. 10928 UDINE Via del Canapificio, 43",,UD,UDINE,"Via del Canapificio,43",,,
Autorizzazione unica (ordinaria),"SAN VITO AL TAGLIAMENTO Via Armenia, 15",PN_PN041006,"Impianto di recupero inerti SAN VITO AL TAGLIAMENTO Via Armenia, 15",,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Armenia,15",45.9476,12.8882,POINT (12.8882 45.9476)
Autorizzazione unica (ordinaria),"TRIESTE Via Brigata Casale, 2",TS_TS006005,"Impianto di autodemolizione TRIESTE Via Brigata Casale, 2",,TS,TRIESTE,"Via Brigata Casale,2",45.62176,13.815357,POINT (13.815357 45.62176)
Autorizzazione unica (ordinaria),CAMPOFORMIDO Via della Fonderia 1,UD_00003415,"Impianto di autodemolizione CAMPOFORMIDO Via della Fonderia 1, Basaldella",,UD,CAMPOFORMIDO,"Basaldella Via Fonderia,1",46.035365,13.217224,POINT (13.217224 46.035365)
